ID,Set,Description
MONKEY17X,,Wayampi Pithecia pithecia - NCP
MONKEY19X,,
MONKEY20X,,
MONKEY21X,,
MONKEY22X,,
HOWLER MONKEY1,,"A ""kaɾajá"" set -- ZJO"
HOWLER MONKEY3,,"A ""waɾiβ"" set, probably Alouatta  -- ZJO"
HOWLER MONKEY2,,
HOWLER MONKEY4,,"An ""akɨkɨ"" set, probably Alouatta seniculus -- ZJO"
HOWLER MONKEY5,,
HOWLER MONKEY6,,
HOWLER MONKEY7,,
HOWLER MONKEY8X,,
SPIDER MONKEY1,,
SPIDER MONKEY1.5,,
SPIDER MONKEY2,,
SPIDER MONKEY3,"COMPOUND, GEN","A ""kaʔí+?"" MONKEY+? compound set -- ZJO"
SPIDER MONKEY 4,,
SPIDER MONKEY6,,
SPIDER MONKEY7,,
SPIDER MONKEY8,,
SPIDER MONKEY9,,
SLOTH1,,"An ""aʔɨ"" set -- ZJO"
SLOTH2,,
SLOTH3,,
SLOTH4,"COMPOUND, GEN",compound monkey + lazy
TAPIR1,,
TAPIR2,,
TAPIR3,,
TAPIR4,,
TAPIR5,,
TAPIR6,,
TAPIR7,,
TAPIR8,,
TAPIR9,,
JAGUAR1,,
JAGUAR2,,
JAGUAR5.5,,
JAGUAR3X,,
JAGUAR4X,,
JAGUAR5X,,
JAGUAR6X,,
JAGUAR7X,,
JAGUAR8,,
MAJAS1,,
MAJAS2,,
MAJAS3,,
MAJAS4,,
MAJAS5,,
MAJAS6,,
MAJAS7,"COMPLEX, MED","A ""karu+ar+usu+ EAT+AGT+AUG complex set -- ZJO"
BIRD1,,
BIRD1.5,,
BIRD2,,
BIRD3,,
BIRD4X,,
BIRD5X,,
BIRD6X,,
BIRD7X,,
BIRD8X,,
BIRD9X,,
BIRD10X,,
BIRD11X,,
BIRD12X,,
BIRD13X,,
BIRD14X,,
BIRD15X,,
BIRD16X,,
BIRD17X,,
BIRD18X,,
BIRD19X,,
BIRD21X,,
BIRD22X,,
BIRD23X,,
BIRD24X,,
BIRD25X,,
BIRD26X,,
BIRD27X,,
BIRD28X,,
ANT1,,
ANT1.25,,
ANT2,,
ANT3,,
ANT3.25X,,
ANT3.5X,,
ANT4,,
ANT5,,
ANT6X,,
ANT7X,,
ANT8X,,
ANT9,,
ANT11X,,
ANT12X,,
ANT13X,,
ANT14X,,
ANT15X,,
ANT16X,,
ANT17X,,
ANT18X,,
ANT19X,,
ANT20X,,
ANT21X,,
ANT23X,,
ANT24X,,
CAIMAN1,,
CAIMAN2,,
CAIMAN3,,
CAIMAN4,,
CAIMAN5,,
CAIMAN6,,
CAIMAN7,,
CAIMAN8,,
CAIMAN9,,
LIZARD1,,"A ""teyu"" set -- ZJO"
LIZARD2,,
LIZARD3,,
LIZARD4,,
LIZARD5X,,"A ""tarapo"" set -- ZJO"
LIZARD6X,,
LIZARD7,,this is a tara set - NCP
LIZARD8X,,
LIZARD10X,,
LIZARD11X,,
LIZARD12,,
LIZARD13X,,
LIZARD14,,
LIZARD15,,
LIZARD17X,,"a yawa set, members of the family Geckonidae in Wayampi - NCP"
LIZARD18X,,a yamaka set. Iguana in Wayampi - NCP
LIZARD20,,"A ""taɾawɨɾ"" set -- ZJO
Wayampi genus Anolis, Iguanidae - NCP"
LIZARD21,,"An ""ambeɾe"" set -- ZJO"
LIZARD22,,
LIZARD23,,
LIZARD24,,
LIZARD25,,
LIZARD26,,
LIZARD27X,,
LIZARD29X,,
LIZARD30X,,
CHAMELEON1,,
CHAMELEON2,,
CHAMELEON3,,
CHAMELEON5,,
ARMADILLO1,,
ARMADILLO2X,COMPLEX,
ARMADILLO3X,COMPLEX,
ARMADILLO4X,COMPLEX,
ARMADILLO5X,COMPLEX,
ARMADILLO6X,COMPLEX,
TURTLE1,,
TURTLE3,,
TURTLE4,,
TURTLE5,,
TURTLE6X,,
TURTLE7X,,
TURTLE8,,
TURTLE9,,
TURTLE10X,,
TURTLE11,,
TURTLE12,,
TURTLE14,,
TURTLE16,,
TURTLE17,,
TURTLE18,,
TURTLE 19,,
TURTLE20X,,
TURTLE21X,,
TURTLE22,,
TURTLE23,,
TURTLE24X,,
TURTLE25,,
TURTLE26,,tarikaya - ZJO
VULTURE1,,
VULTURE3X,,
VULTURE4,,
VULTURE6,,
VULTURE7,,
VULTURE8,,
VULTURE9,,
VULTURE10,,
VULTURE11,,
TERMITE1,,
TERMITE2,,
TERMITE3,,
TERMITE4X,"COMPOUND, IND",A TREE+DUST compound set -- ZJO
TERMITE5X,,
FROG1,,"A ""juʔí"" set -- ZJO"
FROG2,,"A ""kururu"" set -- ZJO"
FROG3,,
FROG4,,"An ""aru"" set -- ZJO"
FROG5,,
FROG6,,
FROG7,,
FROG8X,,
FROG9X,,
FROG10X,,
FROG11X,,
FROG12X,,
FROG13X,,
FROG14X,,
FROG15X,,
FROG16X,,
FROG17X,,
FROG18X,,
FROG19X,,
FROG20X,,
FROG23X,,
FROG26X,,
FROG27X,,
FROG28X,,
FROG29X,,
FROG30X,,
FROG31X,,
FROG32X,,
FROG33X,,
FROG34X,,
FROG35X,,
FROG36X,,
FROG37X,,
DEER1,,"An ""ɨsɨ ~ ɨtɨ"" set -- ZJO"
DEER2,,"this is a wasu set that means deer. At some point the wasu meaning big,  became the word for deer (""the big one""). This is different than the addition of the augmentative suffix. - NCP"
DEER3,"COMPOUND, MED","an ""ɨsɨ+wasu"" set -- VMW
deer + big, large
"
DEER3.25,,this is a tu set - NCP
DEER3.5,,
DEER4,,"A ""kika/jika"" set -- ZJO"
DEER4.5,"COMPLEX, IND",DEER4 + augmentative -- ZJO
DEER4.75,,
DEER5,,
DEER6,,
DEER7,,
DEER8,,"An ""aɾapuha"" set -- ZJO"
DEER9,,
DEER10,,
DEER11,,
DEER12X,,
DEER13X,,
DEER14X,,
DEER15X,,
DEER16X,,
SPIDER1,,
SPIDER2,,
SPIDER3,,
SPIDER4,,
SPIDER5X,,
WASP1,,
WASP2X,,
WASP3,,
WASP4,,
BEE1,"COMPOUND, GEN","An old compound ""eʔiɾ+uβ"" set ('honey father') -- ZJO"
BEE1.5,,
BEE2,,"A ""kawi"" set unrelated to ""kawĩ"" in CORN DRINK -- ZJO"
BEE3,,
BEE4,,
BEE5 ,,
BEE6 ,"COMPOUND, GEN",compound wasp + honey - NCP
BEE7X,,
BEE8X,,
BEE9X,,
BEE10X,,
BEE11X,,"A ""manɡanɡa"" set -- ZJO"
BEE12X,,
BEE13X,,
BEE14X,,"An ""uβe/uβi"" set -- ZJO"
BEE15X,,"An ""ɨβa"" set -- ZJO"
BEE16X,,
BEE27X,,
BEE28X,,
BEE29X,,
BEE37X,,
BEE38,,
BEE39X,,
BEE40X,,
BEE41,,
LOUSE1,,
LOUSE2,,
LOUSE3,,
LOUSE4,,
LOUSE5,,
LOUSE6X,,
MOSQUITO1,,"A ""ɲatiʔũ"" set -- ZJO"
MOSQUITO2,,
MOSQUITO3,,
GNAT1,,"A ""ɲetiŋ"" set -- ZJO"
GNAT2,,
GNAT3,,
GNAT4,,
FLY1,,"An ""mbeɾu"" set -- ZJO"
FLY2,,
FLY3,,
FLY4X,,
SANDFLY1,,"A ""maɾiwí"" set -- ZJO"
SANDFLY3,,
SANDFLY4,,
SANDFLY5,,"a ""pi'u"" set --SM
I expect there to be more cognates. I note Portuguese <pium> is missing from the translations column; maybe looking for <pium> would yield more cognates (e.g.,  maybe in Tupinambá? --SM"
SANDFLY6,,"according to Warazu source compound of tatu and louse
	-pagouritsa itsnoneofyourbusiness"
HORSEFLY1,,
HORSEFLY2,,
HORSEFLY3X,,
HORSEFLY4,,
TICK1,,"A ""jateβuk"" set -- ZJO"
TICK2,,
TICK3,,
TICK4,,
TICK5,,
TICK6X,,
TICK7,,
CHIGOE1,,"A ""tuŋ"" set -- ZJO"
CHIGOE2,,
CHIGOE5,,
CHIGOE4,"COMPOUND, GEN","A ""pɨ+asok"" FOOT+LARVA compound -- NCP"
FLEA1,"COMPOUND, GEN","A ""kɨ+wo"" LOUSE+? compound set -- ZJO"
FLEA2,"COMPOUND, IND","A ""jawaɾ+kɨβ"" JAGUAR+LOUSE compound set -- ZJO"
FLEA3,"COMPLEX, MED","A ""tuŋ+usu"" CHIGGER+AUG complex set -- ZJO"
FLEA4,,
FLEA5,,
FLEA7,"COMPOUND, IND","A ""tuŋ+ɨ"" CHIGGER+? compound set -- ZJO"
FLEA8,"COMPOUND, IND",A LOUSE+? compound set -- ZJO
FLEA9,,
COCKROACH1,,"there are a number of unexpected and likely sporadic sound changes in this row -- LDM

A form /arawe/ 'cockroach' is also attested in Guianan Cariban languages... Borrowing?- SM"
COCKROACH2,,
COCKROACH3,,"this looks suspiciously similar to cockroach1. maybe sporadic sound change?
	-pagouritsa itsnoneofyourbusiness"
COCKROACH4,,
GRASSHOPPER1,,a 'tuku' set --KCB
GRASSHOPPER2,,
GRASSHOPPER3,,
GRASSHOPPER4X,,
GRASSHOPPER5X,,
GRASSHOPPER6X,,
GRASSHOPPER7X,,
GRASSHOPPER8,,
GRASSHOPPER9,,
GRASSHOPPER10,,
GRASSHOPPER11,,
CRICKET1,,
CRICKET2,,
CRICKET3X,,
CRICKET4X,,
CRICKET5X,,
CRICKET6X,,
CRICKET7,,
CRICKET8,,
CICADA1,,
CICADA2,,
CICADA3,,
CICADA4,"COMPOUND, GEN",dry season + master - NCP
CICADA5X,,
CICADA6X,,
CICADA7X,,
CICADA8X,,
CICADA9X,,
CICADA10X,,
CICADA11X,,
CICADA12X,,
CICADA13X,,
CICADA14X,,
CICADA15X,,
CICADA16,,
CICADA17,,
CICADA18,,
CICADA19,,
CICADA20X,,
CICADA21,,
MACAW1,,"An ""arar"" set -- ZJO"
MACAW2,"COMPLEX, MED",arara + ka -- LDM
MACAW3,,"A ""(g)waká"" set -- ZJO"
MACAW4,,"A ""kaninde"" set -- ZJO"
MACAW5,,
MACAW7X,,
MACAW8,,
MACAW9,,
MACAW10X,,
MACAW11,,
PARROT1,,"An ""ayuɾu"" set -- ZJO"
PARROT2,,"A ""maɾakanã"" set -- ZJO"
PARROT3 ,,"A ""parakaw"" set -- ZJO; a form /parawa/ is also common in Guianan Cariban languages as the name of a species of parrot. Borrowing? - SM

"
PARROT3.5X,,"A ""parawá"" set -- ZJO"
PARROT4,,
PARROT4.25,,
PARROT4.5,,
PARROT5X,,
PARROT6,,
PARROT11X,,
PARROT12X,,
PARROT13X,,
PARROT14X,,
PARROT15X,,
PARROT16X,,
PARROT18X,,
PARROT19X,,
PARROT20X,,
PARAKEET1,,
PARAKEET1.5,,
PARAKEET2,,
PARAKEET3,,
PARAKEET4X,,
PARAKEET5,,
PARAKEET6,,
PARAKEET7,,
PARAKEET8,,
FISH1,,
FISH1.5,LOAN,
FISH2X,,
FISH3X,,
FISH4X,,
FISH5X,,
FISH7X,,
FISH8X,,"ZJO search for cognates of FISH8X-11X in Guarayú and Tupinambá.

Also found in some Guianan Cariban languages -- borrowing?- SM
"
FISH9X,,
FISH10X,,
FISH11X,,
FISH12X,,"Likely referring to 'zúngaro' -- ZJO

Also found in several Guianan Cariban languages -- borrowing?- SM"
FISH13X,,"Forms typically denoting the 'paco' -- ZJO
Also found in several Guianan Cariban languages -- possible borrowing- SM
"
FISH14X,,Forms denoting catfish hypernym -- ZJO
FISH15.5X,,
FISH16X,,
FISH17X,,
FISH18X,,
FISH19X,,
FISH20X,,
FISH21X,,
FISH22X,,
FISH23X,,
FISH24X,,
FISH25X,,
PIRANHA1,"COMPOUND, GEN","A ""pirá+ãj"" FISH+TOOTH compound set-- ZJO"
PIRANHA2,,
PIRANHA3,,
PIRANHA4,,
PIRANHA5,,
PIRANHA6,,
PIRANHA7,,
EARTHWORM1,,
EARTHWORM2,,
EARTHWORM4,,
EARTHWORM4,,
EARTHWORM5,,
BOTFLY1,,"An ""ur"" set-- ZJO"
BOTFLY2,,
LARVA1,,"An ""asok"" set; probably a kind of blowfly that nests in meats, fruits, etc. -- ZJO"
LARVA2,,"A ""jaratitá"" set, probably a kind of weevil -- ZJO"
LARVA4,,
LARVA5 ,,
LARVA6 ,,
LARVA7 ,,
LARVA8X,,
LARVA12X,,
CATERPILLAR1,,"An ""ɨtsok"" set; non-biting caterpillar -- ZJO"
CATERPILLAR2,,"An ""mbiɾ"" set; appears to be a biting caterpillar -- ZJO"
CATERPILLAR3,,
CATERPILLAR4,,
CATERPILLAR5,,
CATERPILLAR6X,,
CATERPILLAR7,,
CENTIPEDE1,,
CENTIPEDE3,,
CENTIPEDE4,,
CENTIPEDE5,,
CENTIPEDE6,,
CENTIPEDE7X,,
CENTIPEDE8,,
MILLIPEDE1,,"An ""ambuʔá"" set; perhaps a species of biting centipede -- ZJO
At least in my dialect of Portuguese, <embuá> is not a biting centipede, but the quite harmless millipede, with which I used to play as a kid. --SM
I can't resist preserving the above notes! Sergio is right, this is a millipede or the cover term for millipede! - NCP
I suspect that there is some connection between millipede and firefly, but ok for now. - LDM"
MILLIPEDE2,,
MILLIPEDE3,,
FIREFLY1,,"we believe that there was a sporadic sound change here that resulted in gw -> m in the nasal environment. -- LDM


A ""gwã"" set -- ZJO"
FIREFLY3,,
FIREFLY4,,
FIREFLY5,,
FIREFLY6,,
FIREFLY7,,
FIREFLY8,,
FIREFLY9,,
COATI1,,"A ""kwati"" set -- ZJO
NG: ti 'nose'"
COATI2,,
COATI3,,
COATI4,,
COATI5,,
COATI6,,
COATI7,,
MOUSE~RAT1,,"An ""aŋɡujá"" set -- ZJO"
MOUSE~RAT2,,
MOUSE~RAT3,,
MOUSE~RAT4,,
MOUSE~RAT5,,
MOUSE~RAT7,,
MOUSE~RAT8X,,
MOUSE~RAT9X,,
MOUSE~RAT10X,,
MOUSE~RAT11X,,
MOUSE~RAT12X,,
ANTEATER6,,
ANTEATER1,,
ANTEATER2,,
ANTEATER7,,
ANTEATER3,,
ANTEATER4,,
ANTEATER5,,
ANTEATER8,,
ANTEATER10,,
ANTEATER11,"COMPLEX, GEN",An ANT+NOMZ complex set -- ZJO
ANTEATER12,,
ANTEATER13,,
ANTEATER14,,
ANTEATER9X,,
BAT1,,
BAT2,,
BAT3,,
BAT4,,
BAT5,,
BUTTERFLY1,,
BUTTERFLY2,,
BUTTERFLY3X,,
BUTTERFLY4,,
BUTTERFLY5,,
BUTTERFLY6,,
BUTTERFLY7,,
BUTTERFLY8X,,
BUTTERFLY9,,
COLLARED PECCARY1,,Sirionoide forms show apocope + reanalysis of -te -- ZJO
COLLARED PECCARY2,,
COLLARED PECCARY3,,
COLLARED PECCARY4,,
COLLARED PECCARY5,,
COLLARED PECCARY6,,
COLLARED PECCARY7,,
WHITE-LIPPED PECCARY1,,Is this a compound with tai+asu where the first referred to peccaries in general? -- ZJO
WHITE-LIPPED PECCARY2,LOAN,
WHITE-LIPPED PECCARY3,,
WHITE-LIPPED PECCARY4,,
TAIL1,,Is this a compound with tai+asu where the first referred to peccaries in general? -- ZJO
TAIL2,,
TAIL3,,
TAIL4,,
FEATHER1,,
HORN1,"COMPLEX, GEN","An ""a+tĩ"" CL:round+NOSE complex set -- ZJO

isn't that farfetched semantically?
this set has been deep drilled and should be brown
Also, we added with sergio a mawe possible cognate"
HORN2,,
HORN3,,
HORN4,,
HORN5,,
HORN7,,
HORN8,,
EGG1,"COMPOUND, GEN","An ""upi+ʔa"" compound, with former unknown (too old) plus small-fruit-like classifier; not copied to latter b/c everything already attested there -- ZJO"
WING1,,
ANIMAL1,,
ANIMAL2,,
ANIMAL4,"COMPOUND, GEN",A THING+? compound set -- ZJO
ANIMAL5,,
ANIMAL6X,,
DOMESTICATED ANIMAL1,,
DOMESTICATED ANIMAL2X,,
DOMESTICATED ANIMAL3,,
DOMESTICATED ANIMAL4,,
DOMESTICATED ANIMAL5,"COMPLEX, GEN","An ""emi-mo-xe'ow"" complex set -- ZJO"
DOMESTICATED ANIMAL6,,
BEAK1,"COMPOUND, IND","A ""wɨɾa+tĩ"" bird + nose compound set -- ZJO"
BEAK2X,,
BEAK3X,,
BEAK4,,
MOTHER1,,
MOTHER2,,"An ""aʔi"" set (nb. no glottal stop indicated Guarayú source) -- ZJO"
MOTHER2.5,,
MOTHER3,,"An ""apĩ"" set -- ZJO"
MOTHER4,,
MOTHER5,,Forms in this row appear to double as inherently 1st person possessed and vocative forms.  They're included here because of their referential properties with the former use -- ZJO
MOTHER6,,
MOTHER7,LOAN,
MOTHER8,LOAN,
MOTHER9X,LOAN,
MOTHER10,LOAN,
MOTHER11,LOAN,
FATHER1,,"An ""(ɾ)uβ"" set -- ZJO"
FATHER2,,
FATHER4,LOAN,
FATHER5,LOAN,
FATHER6X,LOAN,
FATHER7,LOAN,
FATHER8,LOAN,
FATHER9,,
FATHER10X,,
FATHER11,,
FATHER13X,,
FATHER14X,,
SON1,,"An ""aʔɨɾ"" set. Most forms mean ""son.MALE.EGO"" -- ZJO"
SON2,,"Generally means ""son.female ego""-- ZJO"
SON3,,
SON4,,
SON5,,
SON6,,
SON7,,
SON8,,
SON9X,,
SON10X,,
SON11X,,
SON12,,
SON13,,
SON14,,
DAUGHTER1,,"Often ""male"" ego - VMW

An ""ajɨɾ"" set, distinguished from SON ""aʔɨɾ"" set -- ZJO"
DAUGHTER2,,
DAUGHTER3,,
DAUGHTER4,,
DAUGHTER5,,
DAUGHTER6,,
DAUGHTER7,,
DAUGHTER8X,,
DAUGHTER9X,,
DAUGHTER10X,,
BROTHER1 ,,"An ""ɨkeʔɨ"" set -- ZJO
This typically ""elder brother male ego"" -- ZJO"
BROTHER2,,"An ""ɨwɨɾ"" set. This typically means ""younger brother male ego"" -- ZJO"
BROTHER3,,"A ""kɨwɨɾ"" set -- ZJO. This typically means ""brother female ego"" -- ZJO"
BROTHER4,,
BROTHER5,,
BROTHER6,,
BROTHER7,,
BROTHER9,,
BROTHER10,,
BROTHER11,,
BROTHER12,,
BROTHER13,,
BROTHER14X,,
BROTHER15,,
BROTHER16,,
BROTHER17,,
BROTHER18,,
BROTHER19,,
BROTHER20,,
BROTHER21,,
BROTHER22,,
BROTHER23X,,
BROTHER24,"COMPOUND, GEN",sibling + man - KCB
SISTER1 ,,"An ""ɨkeɾ"" set. This typically means ""elder sister female ego"" -- ZJO"
SISTER2,,"A ""pɨkɨʔɨɾ"" set. This typically means ""younger sister female ego"" -- ZJO

I think if anything the metathesis is in the opposite direction, since Mawe is kp and not pk. Maybe the most conservative is to collapse everything in one cognate set. what do you think? - NCP"
SISTER3,,"An ""enɨɾ"" set. This typically means ""sister male ego"" -- ZJO"
SISTER4,,
SISTER5,,
SISTER9,,
SISTER10,,
SISTER11,,
SISTER12,,
SISTER13,,
SISTER14,,
SISTER15,"COMPOUND, GEN",sibling + woman - NCP
SISTER16,,
SISTER17,,
SISTER18,,
COUSIN.MALE1X,"COMPOUND, GEN",uncle + son - NCP
COUSIN.MALE2,,
COUSIN.MALE3,,
COUSIN.MALE4,,
COUSIN.FEMALE1,,
COUSIN.FEMALE2,,
COUSIN.FEMALE3,,
NEPHEW1,,"An ""iʔɨɾ"" set -- ZJO"
NEPHEW2,,"A ""peŋ"" set -- ZJO"
NEPHEW3,,
NEPHEW5,,
NEPHEW6,"COMPOUND, GEN",compound of uncle5 + son - NCP
NEPHEW7,,
NEPHEW8X,,
NEPHEW9X,,
NIECE1,,"An ""(e)tipeɾ"" set -- ZJO"
NIECE2,,
NIECE3 ,,tatɨ set -- NCP
NIECE4X,,
AUNT1,"COMPOUND, MED","A ""sɨʔɨɾ"" MOTHER+? compound set -- ZJO"
AUNT2,,Often father's sister -- ZJO
AUNT3,,
AUNT4,,
AUNT5,,
AUNT5.5,,
AUNT6,,
AUNT7,,
AUNT8X,,
AUNT9,,
AUNT10,"COMPOUND, IND",mother + small - NCP
AUNT11,"COMPOUND, IND",mother + grown
AUNT12,LOAN,
UNCLE1,,"A ""tutɨɾ"" set -- ZJO"
UNCLE2,"COMPOUND, MED","An ""uβɨɾ"" FATHER+? compound set -- ZJO"
UNCLE3,,
UNCLE4,,
UNCLE5,,
UNCLE6,,
UNCLE7,,
UNCLE8,,
UNCLE9,,
UNCLE11,,
UNCLE12X,,
HUSBAND1,,
HUSBAND2,,
HUSBAND3,,
HUSBAND4,,
HUSBAND5,,
WIFE1,"COMPLEX, GEN","An ""emi-reko"" 'that which I have/own' set -- ZJO"
WIFE2,,"An ""atɨ"" set -- ZJO"
WIFE4,,"I think this should be merged with NEAR
	-pagouritsa itsnoneofyourbusiness"
WIFE5,,
WIFE6,,
WIFE7,,
WIFE8,,
WIFE9,,
WIFE10X,,
WIFE11,,
BROTHER-IN-LAW1,"COMPOUND, GEN","Also means 'enemy' in many languages b/c war captives were married off to sisters, thus becoming a brother-in-law; compound of *oB 'face' and *jara 'master,' referencing old TG practices of acquiring names and faces through war captive taking -- ZJO
----
check relationship with FACE1, there may be some cases where things need to be moved if we accept this compound
	-pagouritsa itsnoneofyourbusiness"
BROTHER-IN-LAW2,"COMPOUND, IND",
BROTHER-IN-LAW3,"COMPOUND, IND","A ""rendyr + sawa'e"" SISTER + BROTHER set - WNS"
BROTHER-IN-LAW4,"COMPOUND, IND",
BROTHER-IN-LAW5,"COMPOUND, IND",
BROTHER-IN-LAW6,,
BROTHER-IN-LAW7,,
BROTHER-IN-LAW8,"COMPOUND, IND",
BROTHER-IN-LAW9,,
BROTHER-IN-LAW10,"COMPOUND, IND",
BROTHER-IN-LAW11,,
BROTHER-IN-LAW12,"COMPLEX, IND",
BROTHER-IN-LAW13,"COMPOUND, IND",
BROTHER-IN-LAW14,"COMPOUND, IND",
BROTHER-IN-LAW15,,
BROTHER-IN-LAW16,,
SISTER-IN-LAW1,,
SISTER-IN-LAW2,"COMPOUND, IND",
SISTER-IN-LAW4,"COMPOUND, IND",
SISTER-IN-LAW5,"COMPOUND, IND",
SISTER-IN-LAW6,"COMPOUND, IND",
SISTER-IN-LAW9,"COMPOUND, IND",
SISTER-IN-LAW10,"COMPOUND, IND",
SISTER-IN-LAW10.5,"COMPOUND, IND",
SISTER-IN-LAW11X,,
SISTER-IN-LAW12X,,
MOTHER-IN-LAW1,,"An ""aiʃó"" set -- ZJO"
MOTHER-IN-LAW2,"COMPOUND, IND","A ""mend+ɨ"" HUSBAND+MOTHER compound set, that appears to be older than the one below, given morphological integration of the compound -- ZJO"
MOTHER-IN-LAW3,"COMPOUND, IND","A ""men+sɨ"" HUSBAND+MOTHER compound set (see note above) -- ZJO"
MOTHER-IN-LAW3X,"COMPOUND, IND","A ""sawa'e + mãi"" HUSBAND+MOTHER compound set - WNS"
MOTHER-IN-LAW4,,
MOTHER-IN-LAW5,,
MOTHER-IN-LAW6,,
MOTHER-IN-LAW7,,
FATHER-IN-LAW1,"COMPOUND, IND","A ""men+ruβ"" HUSBAND+FATHER compound set, that appears to ""newer"" than the one below given the degree of morphological integration (also see two sets under MOTHER-IN-LAW) -- ZJO"
FATHER-IN-LAW2,"COMPOUND, IND","A ""mend+uβ"" HUSBAND+FATHER set (see note above) -- ZJO"
FATHER-IN-LAW2X,"COMPOUND, IND","A ""sawa'e + pai"" HUSBAND+FATHER set - WNS"
FATHER-IN-LAW3,"COMPOUND, IND",wife + father NCP
FATHER-IN-LAW4,"COMPOUND, IND","An ""atɨ+uβ"" WIFE+FATHER compound set -- ZJO"
FATHER-IN-LAW5,,
FATHER-IN-LAW6,,
FATHER-IN-LAW7,,
FATHER-IN-LAW8,,
FATHER-IN-LAW9,,
FATHER-IN-LAW10,,
SON-IN-LAW1,,"A ""peʔúm"" set -- ZJO"
SON-IN-LAW2,,
SON-IN-LAW3,,
SON-IN-LAW4,,
SON-IN-LAW5,,
SON-IN-LAW6,,
SON-IN-LAW7,"COMPOUND, IND",A DAUGHTER+HUSBAND compound set -- ZJO
SON-IN-LAW8,"COMPOUND, IND",A DAUGHTER+HUSBAND compound set -- ZJO
SON-IN-LAW9,,
SON-IN-LAW10,"COMPLEX, IND",
DAUGHTER-IN-LAW1,,
DAUGHTER-IN-LAW2,"COMPOUND, IND","An ""aɨ+atɨ"" SON+WIFE compound set -- ZJO"
DAUGHTER-IN-LAW3,"COMPOUND, IND","A ""membi+atɨ"" SON+WIFE compound set -- ZJO"
DAUGHTER-IN-LAW4,,
DAUGHTER-IN-LAW5,"COMPLEX, IND",
GRANDCHILDMALEEGO1,"COMPLEX, GEN","A ""minó"" set + 'emi-' NOMZ -- ZJO"
GRANDCHILDMALEEGO3,,
GRANDCHILDFEMALEEGO1,"COMPLEX, GEN","A ""aɾiɾõ"" set + 'emi-' NOMZ -- ZJO"
GRANDCHILD5,,
GRANDCHILD3,,
GRANDCHILD7,,
GRANDMOTHER1,,"An ""aɾɨj"" set -- ZJO"
GRANDMOTHER2,,
GRANDMOTHER3,,
GRANDMOTHER4,"COMPOUND, IND","A compound ""sɨ+sɨ"" MOTHER+MOTHER set -- ZJO"
GRANDMOTHER5,"COMPOUND, IND","An ""uβ+sɨ"" FATHER+MOTHER compound set -- ZJO"
GRANDMOTHER6,,
GRANDMOTHER7,,
GRANDMOTHER8X,,
GRANDFATHER1,,
GRANDFATHER2,,
GRANDFATHER3,,"An ""amũj"" set -- ZJO"
GRANDFATHER4,"COMPOUND, IND","An ""uβ+uβ"" FATHER+FATHER compound set -- ZJO"
GRANDFATHER5,"COMPOUND, IND","A ""sɨ+uβ"" MOTHER+FATHER compound set -- ZJO"
GRANDFATHER6X,,
GODMOTHER1,,
GODMOTHER2,"COMPOUND, IND","A ""sɨ+angá"" MOTHER+? compound set, note medial linking r -- ZJO"
GODMOTHER3,"COMPOUND, IND","A ""sɨ+angá"" MOTHER+? compound set, note lack of medial linking r -- ZJO"
GODMOTHER4,"COMPOUND, IND","A ""imãi + anga"" MOTHER+? compound set - WNS"
GODFATHER1,"COMPOUND, IND","An ""uβ+angá"" FATHER+? compound set, note medial bilabial -- ZJO"
GODFATHER2,"COMPOUND, IND","An ""u+angá"" FATHER+? compound set, note lack of medial bilabial -- ZJO"
GODFATHER3,"COMPOUND, IND","A ""ipái+anga"" FATHER+? compound set - WNS"
GODFATHER4,,
GODFATHER5,,
MAN1,,"A ""kuimbaʔé"" set -- ZJO"
MAN2,"COMPLEX, GEN","A LAND+NOMZ complex set, i.e., ""one of the Earth"" -- ZJO"
MAN3,,"Really means something like 'fellow human' and needs to be searched for better, so Xd -- ZJO"
MAN4,,
MAN5,,
MAN7,,
MAN8,,
MAN9,,
MAN10,,
MAN11X,,
MAN12X,,
WOMAN1,,
WOMAN2,,
WOMAN3,,
WOMAN3.5,,
WOMAN4,,"An ""esi"" set -- ZJO"
WOMAN6,,
WOMAN7,,
OLD WOMAN1,,"A ""wajβ"" set -- ZJO"
OLD WOMAN2,,"A ""nuj"" set -- ZJO"
OLD WOMAN3,"COMPOUND, GEN","A ""wajβ+nui"" compound set -- ZJO"
OLD WOMAN4,"COMPOUND, GEN","A ""wajβ+ĩ"" compound set -- ZJO"
OLD WOMAN5,,
OLD WOMAN6,,
OLD WOMAN7,,
OLD WOMAN8,,
OLD WOMAN9,"COMPOUND, GEN",woman + grow - NCP
OLD WOMAN10,,
PERSON1,,
PERSON2,,"An ""aβá"" set -- ZJO"
PERSON3,,"An ""mbɨʔa"" set -- ZJO"
PERSON3.5,,"A teko set. This seems related with the eko root meaning live, but then the t is not explained. The verb doesn't show remnants of relational ""prefix"". - NCP
"
PERSON4,,
PERSON5X,,
PERSON7,,
PERSON9X,,
PERSON10,,
PERSON11X,,
PERSON13X,,"I note that this form /poro-/ is usually considered a prefix on verbs, indicating a 'generic human' participant (usually object on transitive verbs). --SM
I think we should populate this row (and maybe X it?) - NCP
 "
PERSON14X,,
PERSON18X,,"A ""tapɨʔɨj"" set that means other indigenous person.  This cognate would be widely attested if we had looked for words for ""indio"" -- ZJO"
PERSON19,LOAN,
